127.0.0.1 - - [13/Mar/2016:14:48:03 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:05 +0200] "GET /_WebApplication/pages/index.html HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:06 +0200] "GET /_WebApplication/pages/assets/css/pHome.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:06 +0200] "GET /_WebApplication/libs/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:06 +0200] "GET /_WebApplication/pages/assets/images/home/Grey-Texture-Background-and-Wallpaper-16.jpg HTTP/1.1" 200 493759
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:10 +0200] "GET /_WebApplication/pages/index.html HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:10 +0200] "GET /_WebApplication/libs/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:10 +0200] "GET /_WebApplication/pages/assets/images/home/Grey-Texture-Background-and-Wallpaper-16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:10 +0200] "GET /_WebApplication/pages/assets/css/pHome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:11 +0200] "GET /_WebApplication/pages/assets/images/favicon/favicon.ico HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:17 +0200] "GET /_WebApplication/pages/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:17 +0200] "GET /_WebApplication/libs/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:17 +0200] "GET /_WebApplication/pages/assets/css/pHome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:17 +0200] "GET /_WebApplication/pages/assets/images/home/Grey-Texture-Background-and-Wallpaper-16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:17 +0200] "GET /_WebApplication/pages/assets/images/favicon/favicon.ico HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:18 +0200] "GET /_WebApplication/pages/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:18 +0200] "GET /_WebApplication/pages/assets/css/pHome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:18 +0200] "GET /_WebApplication/libs/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:18 +0200] "GET /_WebApplication/pages/assets/images/home/Grey-Texture-Background-and-Wallpaper-16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:48:18 +0200] "GET /_WebApplication/pages/assets/images/favicon/favicon.ico HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [13/Mar/2016:14:52:02 +0200] "GET /_WebApplication/pages/index.html HTTP/1.1" 304 -
